Address,Purpose,Description,Evaluate.Green,Evaluate.Red,Expected.Intensity,Control.Type,TargetID,Index
27630314,Staining,DNP (High),-,+,High,Sample-Independent,STAINING,1
43603326,Staining,DNP (Bkg),-,+,Background,Sample-Independent,STAINING,2
21630339,Staining,DNP (20k),-,+,High,Sample-Independent,STAINING,3
41666334,Staining,Biotin (High),+,-,High,Sample-Independent,STAINING,4
34648333,Staining,Biotin (Bkg),+,-,Background,Sample-Independent,STAINING,5
24669308,Staining,Biotin (5k),+,-,Background,Sample-Independent,STAINING,6
28684356,Hybridization,Hyb (High),+,-,High,Sample-Independent,HYBRIDIZATION,1
26772442,Hybridization,Hyb (Medium),+,-,Medium,Sample-Independent,HYBRIDIZATION,2
21771417,Hybridization,Hyb (Low),+,-,Low,Sample-Independent,HYBRIDIZATION,3
13643320,Target removal,Target Removal 1,+,-,Background,Sample-Independent,TARGET REMOVAL,1
42790394,Target removal,Target Removal 2,+,-,Background,Sample-Independent,TARGET REMOVAL,2
63642461,Extension,Extension (A),-,+,High,Sample-Independent,EXTENSION,1
47640365,Extension,Extension (T),-,+,High,Sample-Independent,EXTENSION,2
74666473,Extension,Extension (C),+,-,High,Sample-Independent,EXTENSION,3
31698466,Extension,Extension (G),+,-,High,Sample-Independent,EXTENSION,4
22711390,Bisulfite conversion I,BS Conversion I C1,+,-,High,Sample-Dependent,BISULFITE CONVERSION I,1
46651360,Bisulfite conversion I,BS Conversion I U1,+,-,Background,Sample-Dependent,BISULFITE CONVERSION I,2
22795447,Bisulfite conversion I,BS Conversion I C2,+,-,High,Sample-Dependent,BISULFITE CONVERSION I,3
24637490,Bisulfite conversion I,BS Conversion I U2,+,-,Background,Sample-Dependent,BISULFITE CONVERSION I,4
56682500,Bisulfite conversion I,BS Conversion I C3,+,-,High,Sample-Dependent,BISULFITE CONVERSION I,5
33665449,Bisulfite conversion I,BS Conversion I U3,+,-,Background,Sample-Dependent,BISULFITE CONVERSION I,6
54705438,Bisulfite conversion I,BS Conversion I C4,-,+,High,Sample-Dependent,BISULFITE CONVERSION I,7
57693375,Bisulfite conversion I,BS Conversion I U4,-,+,Background,Sample-Dependent,BISULFITE CONVERSION I,8
49720470,Bisulfite conversion I,BS Conversion I C5,-,+,High,Sample-Dependent,BISULFITE CONVERSION I,9
15700381,Bisulfite conversion I,BS Conversion I U5,-,+,Background,Sample-Dependent,BISULFITE CONVERSION I,10
26725400,Bisulfite conversion I,BS Conversion I C6,-,+,High,Sample-Dependent,BISULFITE CONVERSION I,11
33635504,Bisulfite conversion I,BS Conversion I U6,-,+,Background,Sample-Dependent,BISULFITE CONVERSION I,12
43720395,Bisulfite conversion II,BS Conversion II-1,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,1
70664314,Bisulfite conversion II,BS Conversion II-2,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,2
71718498,Bisulfite conversion II,BS Conversion II-3,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,3
30724412,Bisulfite conversion II,BS Conversion II-4,-,+,High,Sample-Dependent,BISULFITE CONVERSION II,4
67672371,Specificity I,GT Mismatch 1 (MM),+,-,Background,Sample-Dependent,SPECIFICITY I,1
23777311,Specificity I,GT Mismatch 1 (PM),+,-,High,Sample-Dependent,SPECIFICITY I,2
